Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
      Bondville,BOND1, NH4f,     40.05,    -88.37,    263.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Bondville,BOND1,  ECf,     40.05,    -88.37,    263.00,      0.45,      0.41,      0.48,      0.56,      0.41,      0.57,      0.54,      0.74,      0.61,      0.73,      0.43,      0.48,      0.26,      0.23,      0.30,      0.21,      0.19,      0.42,      0.20,      0.31,      0.22,      0.33,      0.23,      0.23,
      Bondville,BOND1,  OCf,     40.05,    -88.37,    263.00,      1.20,      1.06,      1.32,      1.43,      1.12,      1.76,      1.49,      1.63,      1.91,      1.85,      1.46,      1.34,      1.00,      0.47,      1.33,      0.87,      0.55,      1.36,      0.57,      0.45,      0.84,      1.15,      1.15,      0.82,
      Bondville,BOND1, NO3f,     40.05,    -88.37,    263.00,      4.00,      4.60,      5.29,      2.48,      0.85,      0.56,      0.89,      0.77,      0.87,      1.81,      2.10,      5.50,      2.76,      3.43,      3.15,      2.20,      0.62,      0.62,      0.91,      0.40,      0.89,      1.40,      1.17,      2.66,
      Bondville,BOND1, SO4f,     40.05,    -88.37,    263.00,      2.81,      3.13,      3.05,      3.70,      3.00,      6.62,      5.69,      8.81,      7.42,      3.48,      1.96,      2.76,      1.73,      2.05,      1.55,      2.19,      1.71,      6.24,      3.41,      7.94,      5.38,      3.18,      0.91,      1.19,
Boundary Waters,BOWA1, NH4f,     47.95,    -91.50,    526.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Boundary Waters,BOWA1,  ECf,     47.95,    -91.50,    526.00,      0.16,      0.11,      0.09,      0.15,      0.14,      0.17,      0.18,      0.21,      0.18,      0.14,      0.22,      0.12,      0.12,      0.05,      0.10,      0.12,      0.09,      0.18,      0.13,      0.21,      0.20,      0.12,      0.23,      0.09,
Boundary Waters,BOWA1,  OCf,     47.95,    -91.50,    526.00,      0.62,      0.36,      0.39,      0.69,      0.63,      1.07,      1.20,      1.33,      1.08,      0.74,      0.63,      0.28,      0.30,      0.12,      0.33,      0.49,      0.32,      0.69,      0.61,      1.01,      0.90,      0.49,      0.55,      0.14,
Boundary Waters,BOWA1, NO3f,     47.95,    -91.50,    526.00,      1.69,      0.66,      0.47,      0.35,      0.18,      0.06,      0.08,      0.07,      0.06,      0.18,      0.95,      0.33,      1.55,      0.95,      0.84,      0.42,      0.23,      0.04,      0.06,      0.06,      0.06,      0.44,      1.17,      0.52,
Boundary Waters,BOWA1, SO4f,     47.95,    -91.50,    526.00,      1.15,      0.95,      1.39,      1.10,      1.30,      1.79,      1.46,      1.97,      1.44,      0.74,      0.65,      0.83,      0.52,      0.32,      1.13,      0.65,      1.16,      2.68,      1.34,      2.58,      2.71,      0.65,      0.48,      0.63,
Bryce Canyon NP,BRCA1, NH4f,     37.62,   -112.17,   2481.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Bryce Canyon NP,BRCA1,  ECf,     37.62,   -112.17,   2481.00,      0.04,      0.05,      0.04,      0.09,      0.13,      0.22,      0.25,      0.12,      0.11,      0.20,      0.10,      0.06,      0.02,      0.03,      0.03,      0.05,      0.06,      0.26,      0.12,      0.03,      0.02,      0.22,      0.07,      0.06,
Bryce Canyon NP,BRCA1,  OCf,     37.62,   -112.17,   2481.00,      0.20,      0.24,      0.30,      0.40,      0.65,      1.30,      1.95,      0.51,      0.53,      1.13,      0.38,      0.20,      0.09,      0.07,      0.15,      0.16,      0.35,      1.55,      1.12,      0.16,      0.08,      1.14,      0.28,      0.17,
Bryce Canyon NP,BRCA1, NO3f,     37.62,   -112.17,   2481.00,      0.17,      0.27,      0.18,      0.28,      0.15,      0.21,      0.17,      0.05,      0.13,      0.12,      0.14,      0.18,      0.27,      0.36,      0.15,      0.18,      0.08,      0.17,      0.15,      0.03,      0.06,      0.08,      0.09,      0.37,
Bryce Canyon NP,BRCA1, SO4f,     37.62,   -112.17,   2481.00,      0.21,      0.39,      0.40,      0.75,      0.66,      0.97,      0.94,      0.90,      0.70,      0.54,      0.43,      0.17,      0.17,      0.29,      0.22,      0.38,      0.24,      0.70,      0.35,      0.43,      0.19,      0.14,      0.37,      0.14,
         Breton,BRET1, NH4f,     29.12,    -89.21,     11.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
         Breton,BRET1,  ECf,     29.12,    -89.21,     11.00,      0.45,      0.44,      0.43,      0.37,      0.43,      0.30,      0.23,      0.48,   -999.00,   -999.00,   -999.00,   -999.00,      0.30,      0.23,      0.33,      0.19,      0.22,      0.21,      0.16,      0.35,   -999.00,   -999.00,   -999.00,   -999.00,
         Breton,BRET1,  OCf,     29.12,    -89.21,     11.00,      1.00,      1.01,      1.13,      1.11,      1.16,      0.89,      0.54,      1.11,   -999.00,   -999.00,   -999.00,   -999.00,      0.61,      0.52,      0.92,      0.58,      0.60,      0.81,      0.36,      1.12,   -999.00,   -999.00,   -999.00,   -999.00,
         Breton,BRET1, NO3f,     29.12,    -89.21,     11.00,      0.81,      0.80,      0.69,      0.60,      0.49,      0.36,      0.39,      0.27,   -999.00,   -999.00,   -999.00,   -999.00,      0.66,      0.84,      0.47,      0.26,      0.19,      0.13,      0.13,      0.03,   -999.00,   -999.00,   -999.00,   -999.00,
         Breton,BRET1, SO4f,     29.12,    -89.21,     11.00,      2.50,      2.61,      3.38,      3.16,      5.48,      4.40,      4.45,      6.49,   -999.00,   -999.00,   -999.00,   -999.00,      1.44,      1.45,      1.70,      1.64,      1.98,      2.76,      2.21,      4.40,   -999.00,   -999.00,   -999.00,   -999.00,
Bridger Wildern,BRID1, NH4f,     42.97,   -109.76,   2626.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Bridger Wildern,BRID1,  ECf,     42.97,   -109.76,   2626.00,      0.04,      0.03,      0.03,      0.07,      0.07,      0.10,      0.10,      0.12,      0.08,      0.10,      0.05,      0.05,      0.03,      0.01,      0.02,      0.03,      0.04,      0.11,      0.09,      0.03,      0.04,      0.06,      0.04,      0.03,
Bridger Wildern,BRID1,  OCf,     42.97,   -109.76,   2626.00,      0.22,      0.15,      0.20,      0.29,      0.36,      0.66,      0.95,      1.01,      0.56,      0.56,      0.22,      0.17,      0.08,      0.08,      0.10,      0.08,      0.20,      0.71,      0.33,      0.30,      0.20,      0.33,      0.15,      0.09,
Bridger Wildern,BRID1, NO3f,     42.97,   -109.76,   2626.00,      0.06,      0.13,      0.13,      0.15,      0.10,      0.09,      0.08,      0.06,      0.11,      0.06,      0.04,      0.05,      0.04,      0.18,      0.08,      0.10,      0.05,      0.06,      0.08,      0.03,      0.05,      0.04,      0.04,      0.04,
Bridger Wildern,BRID1, SO4f,     42.97,   -109.76,   2626.00,      0.29,      0.24,      0.38,      0.63,      0.69,      0.79,      0.50,      0.52,      0.49,      0.38,      0.21,      0.16,      0.20,      0.09,      0.15,      0.22,      0.34,      0.77,      0.26,      0.19,      0.22,      0.21,      0.08,      0.13,
 Brigantine NWR,BRIG1, NH4f,     39.47,    -74.45,      5.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
 Brigantine NWR,BRIG1,  ECf,     39.47,    -74.45,      5.00,      0.56,      0.47,      0.49,      0.30,      0.40,      0.34,      0.67,      0.47,      0.36,      0.27,      0.54,      0.63,      0.14,      0.21,      0.19,      0.25,      0.21,      0.23,      0.33,      0.26,      0.24,      0.24,      0.22,      0.23,
 Brigantine NWR,BRIG1,  OCf,     39.47,    -74.45,      5.00,      1.51,      1.56,      1.41,      0.94,      1.27,      1.19,      2.57,      1.48,      1.12,      0.78,      1.63,      1.79,      0.48,      0.68,      0.65,      0.77,      0.75,      0.78,      1.40,      0.95,      0.60,      0.71,      0.64,      1.16,
 Brigantine NWR,BRIG1, NO3f,     39.47,    -74.45,      5.00,      1.36,      1.97,      1.47,      0.80,      0.49,      0.42,      0.30,      0.23,      0.31,      0.33,      1.00,      1.98,      0.93,      1.53,      0.91,      0.55,      0.18,      0.18,      0.13,      0.07,      0.12,      0.28,      0.49,      1.35,
 Brigantine NWR,BRIG1, SO4f,     39.47,    -74.45,      5.00,      2.90,      3.43,      3.39,      3.04,      3.99,      4.62,      7.86,      7.07,      3.64,      1.69,      2.67,      2.84,      1.62,      1.49,      1.39,      2.49,      2.52,      2.93,      5.02,      5.52,      4.03,      0.99,      1.39,      0.74,
          BRIS1,BRIS1, NH4f,     30.11,    -89.76,     -7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRIS1,BRIS1,  ECf,     30.11,    -89.76,     -7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRIS1,BRIS1,  OCf,     30.11,    -89.76,     -7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRIS1,BRIS1, NO3f,     30.11,    -89.76,     -7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRIS1,BRIS1, SO4f,     30.11,    -89.76,     -7.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRISX,BRISX, NH4f,     30.11,    -89.76,    -89.76,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRISX,BRISX,  ECf,     30.11,    -89.76,    -89.76,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRISX,BRISX,  OCf,     30.11,    -89.76,    -89.76,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRISX,BRISX, NO3f,     30.11,    -89.76,    -89.76,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          BRISX,BRISX, SO4f,     30.11,    -89.76,    -89.76,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Brooklyn Lake,BRLA1, NH4f,     41.37,   -106.24,   3196.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Brooklyn Lake,BRLA1,  ECf,     41.37,   -106.24,   3196.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Brooklyn Lake,BRLA1,  OCf,     41.37,   -106.24,   3196.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Brooklyn Lake,BRLA1, NO3f,     41.37,   -106.24,   3196.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
  Brooklyn Lake,BRLA1, SO4f,     41.37,   -106.24,   3196.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Bridgton,BRMA1, NH4f,     44.11,    -70.73,    233.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Bridgton,BRMA1,  ECf,     44.11,    -70.73,    233.00,      0.31,      0.28,      0.11,      0.15,      0.20,      0.41,      0.26,      0.34,      0.21,      0.29,      0.36,      0.34,      0.10,      0.16,      0.07,      0.06,      0.09,      0.25,      0.07,      0.13,      0.11,      0.27,      0.21,      0.29,
       Bridgton,BRMA1,  OCf,     44.11,    -70.73,    233.00,      1.07,      1.02,      0.60,      0.66,      0.56,      1.65,      1.35,      1.45,      0.99,      0.87,      1.10,      1.16,      0.27,      0.52,      0.27,      0.34,      0.25,      0.93,      0.44,      0.75,      0.36,      0.46,      0.59,      0.95,
       Bridgton,BRMA1, NO3f,     44.11,    -70.73,    233.00,      0.39,      0.29,      0.19,      0.23,      0.16,      1.29,      0.06,      0.09,      0.12,      0.17,      0.23,      0.48,      0.14,      0.20,      0.17,      0.21,      0.11,      3.51,      0.02,      0.05,      0.11,      0.15,      0.15,      0.57,
       Bridgton,BRMA1, SO4f,     44.11,    -70.73,    233.00,      1.52,      1.40,      1.35,      1.36,      1.21,      3.72,      1.36,      2.09,      1.93,      1.68,      1.27,      1.79,      1.04,      0.92,      0.79,      0.86,      0.45,      3.77,      1.20,      1.64,      2.02,      1.80,      0.84,      1.60,
      Casco Bay,CABA1, NH4f,     43.83,    -70.06,     26.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Casco Bay,CABA1,  ECf,     43.83,    -70.06,     26.00,      0.62,      0.38,      0.27,      0.28,      0.19,      0.44,      0.37,      0.46,      0.36,      0.32,      0.55,      0.60,      0.22,      0.31,      0.14,      0.18,      0.08,      0.21,      0.15,      0.27,      0.16,      0.26,      0.33,      0.40,
      Casco Bay,CABA1,  OCf,     43.83,    -70.06,     26.00,      1.49,      1.54,      1.11,      0.84,      0.59,      1.74,      1.51,      1.47,      1.17,      0.91,      1.47,      2.11,      0.50,      1.00,      0.67,      0.45,      0.26,      1.08,      0.69,      0.86,      0.38,      0.59,      0.99,      1.41,
      Casco Bay,CABA1, NO3f,     43.83,    -70.06,     26.00,      0.68,      0.46,      0.45,      0.43,      0.19,      0.70,      0.20,      0.29,      0.31,      0.35,      0.41,      0.56,      0.36,      0.28,      0.72,      0.20,      0.11,      0.42,      0.11,      0.19,      0.24,      0.36,      0.33,      0.48,
      Casco Bay,CABA1, SO4f,     43.83,    -70.06,     26.00,      1.94,      1.51,      1.81,      1.67,      1.07,      3.19,      1.66,      2.44,      1.72,      1.42,      1.68,      1.90,      1.32,      0.86,      1.37,      0.86,      0.44,      2.95,      1.32,      2.06,      1.11,      1.39,      1.20,      1.60,
Cabinet Mountai,CABI1, NH4f,     47.95,   -115.67,   1441.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Cabinet Mountai,CABI1,  ECf,     47.95,   -115.67,   1441.00,      0.09,      0.10,      0.11,      0.11,      0.12,      0.12,      0.11,      0.19,      0.22,      0.26,      0.16,      0.07,      0.04,      0.05,      0.05,      0.08,      0.07,      0.07,      0.09,      0.08,      0.14,      0.17,      0.11,      0.04,
Cabinet Mountai,CABI1,  OCf,     47.95,   -115.67,   1441.00,      0.37,      0.66,      0.57,      0.44,      0.57,      0.69,      0.93,      1.40,      1.19,      1.63,      0.85,      0.39,      0.21,      0.37,      0.29,      0.41,      0.38,      0.47,      0.47,      0.42,      0.72,      1.16,      0.62,      0.18,
