Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
    Big Bend NP,BIBE1, NO3f,     29.30,   -103.18,   1066.00,      0.22,      0.23,      0.08,      0.17,      0.20,      0.24,      0.21,      0.10,      0.10,      0.11,      0.09,      0.17,      0.28,      0.26,      0.03,      0.09,      0.11,      0.11,      0.15,      0.04,      0.05,      0.07,      0.05,      0.14,
    Big Bend NP,BIBE1, SO4f,     29.30,   -103.18,   1066.00,      1.70,      1.19,      1.09,      1.61,      3.04,      3.15,      2.03,      2.03,      3.39,      2.44,      1.34,      1.52,      1.23,      0.66,      0.95,      1.25,      1.43,      1.63,      0.63,      1.39,      2.06,      1.68,      1.06,      1.67,
     Birmingham,BIRM1, NH4f,    175.00,      4.00,      4.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Birmingham,BIRM1,  ECf,    175.00,      4.00,      4.00,      1.64,      1.84,      1.61,      2.38,      2.55,      1.78,      1.83,      1.81,      2.48,      2.39,      1.70,      2.11,      0.83,      1.76,      1.36,      2.53,      1.65,      0.82,      0.99,      0.51,      1.52,      2.06,      0.99,      2.03,
     Birmingham,BIRM1,  OCf,    175.00,      4.00,      4.00,      3.41,      3.16,      3.17,      4.59,      4.39,      4.08,      3.71,      3.72,      5.80,      4.55,      4.07,      3.74,      1.57,      1.68,      2.42,      3.15,      2.17,      2.06,      1.68,      1.16,      3.28,      3.90,      2.18,      2.26,
     Birmingham,BIRM1, NO3f,    175.00,      4.00,      4.00,      1.72,      1.28,      1.18,      0.60,      0.75,      0.45,      0.38,      0.45,      0.51,      0.71,      0.79,      1.88,      0.98,      0.80,      0.72,      0.33,      0.40,      0.24,      0.12,      0.19,      0.14,      0.24,      0.47,      1.15,
     Birmingham,BIRM1, SO4f,    175.00,      4.00,      4.00,      3.13,      3.76,      3.26,      3.32,      7.30,      7.36,      8.09,      8.74,      8.40,      5.49,      3.12,      2.74,      1.36,      1.88,      1.89,      1.99,      3.13,      5.67,      4.92,      3.82,      6.30,      2.58,      1.39,      1.51,
Bliss SP (TRPA),BLIS1, NH4f,     38.98,   -120.10,   2130.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Bliss SP (TRPA),BLIS1,  ECf,     38.98,   -120.10,   2130.00,      0.19,      0.11,      0.07,      0.07,      0.15,      0.11,      0.25,      0.21,      0.15,      0.24,      0.15,      0.09,      0.10,      0.07,      0.05,      0.05,      0.16,      0.05,      0.12,      0.09,      0.05,      0.21,      0.14,      0.08,
Bliss SP (TRPA),BLIS1,  OCf,     38.98,   -120.10,   2130.00,      0.52,      0.42,      0.28,      0.36,      0.61,      0.64,      1.44,      1.12,      0.82,      1.60,      0.71,      0.43,      0.22,      0.26,      0.20,      0.24,      0.53,      0.28,      0.68,      0.47,      0.31,      1.88,      0.68,      0.37,
